TC_ID;KATEGORIA;PODKATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_VerificationStatus;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;UWAGI;RYZYKO_BLEDU
TC-359;Błędna kombinacja;Kod pocztowy;Low;Poprawna ulica i miasto, ale kod z innej części ulicy (inny zakres numerów);Marszałkowska;150;Warszawa;00-001;InVerification;Marszałkowska;150;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.3;>0.95;>0.9;<0.5;;false;Numer 150 poza zakresem dla kodu 00-001 - kod może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy z innym kodem jeśli numer nie pasuje
TC-360;Błędna kombinacja;Kod pocztowy;Low;Poprawna ulica i miasto, ale kod z innej części miasta;Długa;50;Brodnica;87-301;InVerification;Długa;50;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.7;<0.6;;false;Kod 87-301 vs 87-300 - może być dla innej części miasta lub innej ulicy;RYZYKO: Może przypisać do innej ulicy w Brodnicy z kodem 87-301
TC-361;Błędna kombinacja;Kod pocztowy;Low;Poprawna ulica i miasto, ale kod z innego miasta;Lipowa;15;Brodnica;20-001;InVerification;Lipowa;15;Brodnica;20-001;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;>0.9;<0.2;<0.3;;false;Kod 20-001 (Warszawa) vs 87-300 (Brodnica) - kod nie pasuje do miasta;RYZYKO: Może przypisać do Warszawy zamiast Brodnicy jeśli kod pasuje do Warszawy
TC-362;Błędna kombinacja;Kod pocztowy;Low;Poprawna ulica i miasto, ale kod z innego miasta;Kujawska;;Zakrzewo;00-001;InVerification;Kujawska;;Zakrzewo;00-001;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;>0.9;<0.2;<0.3;;false;Kod 00-001 (Warszawa) vs 87-700 (Zakrzewo) - kod nie pasuje do miasta;RYZYKO: Może przypisać do Warszawy zamiast Zakrzewa jeśli kod pasuje do Warszawy
TC-356;Błędna kombinacja;Miasto;High;Błędne miasto Warszawa, ale ulica i kod pasują do Lublina;Jana Pawła II;17;Warszawa;20-538;InVerification;Jana Pawła II;17;Lublin;20-538;LUBELSKIE;Lublin;Lublin;<0.5;>0.9;>0.9;<0.7;;false;Ulica Jana Pawła II występuje w wielu miastach - kod 20-538 pasuje do Lublina;RYZYKO: Może przypisać do Lublina zamiast Warszawy jeśli kod pasuje do Lublina
TC-357;Błędna kombinacja;Miasto;High;Błędne miasto Kraków, ale ulica i kod pasują do innego miasta;Mickiewicza;;Kraków;87-300;InVerification;Mickiewicza;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.9;<0.7;;false;Ulica Mickiewicza występuje w 1087 miejscowościach - kod 87-300 pasuje do Brodnicy;RYZYKO: Może przypisać do Brodnicy zamiast Krakowa jeśli kod pasuje do Brodnicy
TC-358;Błędna kombinacja;Miasto;High;Błędne miasto Wrocław, ale ulica i kod pasują do innego miasta;Kujawska;;Wrocław;87-700;InVerification;Kujawska;;Zakrzewo;87-700;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.5;>0.9;>0.9;<0.7;;false;Ulica Kujawska występuje w wielu miejscowościach - kod 87-700 pasuje do Zakrzewa;RYZYKO: Może przypisać do Zakrzewa zamiast Wrocławia jeśli kod pasuje do Zakrzewa
TC-363;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem dla tego kodu;Marszałkowska;200;Warszawa;00-001;InVerification;Marszałkowska;200;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.3;>0.95;>0.9;<0.5;;false;Numer 200 poza zakresem dla kodu 00-001 - może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy z innym kodem jeśli numer nie pasuje
TC-364;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Dmowskiego;100;Lublin;20-001;InVerification;Dmowskiego;100;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.3;>0.95;>0.9;<0.5;;false;Numer 100 poza zakresem - może być dla rondo Dmowskiego zamiast ul.;RYZYKO: Może przypisać do rondo zamiast ul. jeśli numer nie pasuje do ulicy
TC-365;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Grobla;200;Gorzów Wielkopolski;66-400;InVerification;Grobla;200;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.5;;false;Numer 200 poza zakresem - może być dla rondo Grobla zamiast ul.;RYZYKO: Może przypisać do rondo zamiast ul. jeśli numer nie pasuje do ulicy
TC-406;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Dmowskiego;200;Lublin;20-001;InVerification;Dmowskiego;200;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.3;>0.95;>0.9;<0.4;;false;Numer 200 poza zakresem dla ul. Dmowskiego - może być dla rondo Dmowskiego;RYZYKO: Może przypisać do rondo Dmowskiego jeśli numer nie pasuje do ulicy
TC-407;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Grobla;300;Gorzów Wielkopolski;66-400;InVerification;Grobla;300;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.4;;false;Numer 300 poza zakresem dla ul. Grobla - może być dla rondo Grobla;RYZYKO: Może przypisać do rondo Grobla jeśli numer nie pasuje do ulicy
TC-408;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Kasprowicza;150;Inowrocław;88-100;InVerification;Kasprowicza;150;Inowrocław;88-100;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;<0.3;>0.95;>0.9;<0.4;;false;Numer 150 poza zakresem dla ul. Kasprowicza - może być dla pl. Kasprowicza;RYZYKO: Może przypisać do pl. Kasprowicza jeśli numer nie pasuje do ulicy
TC-409;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Górna;250;Tomaszów Mazowiecki;97-200;InVerification;Górna;250;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.3;>0.95;>0.9;<0.4;;false;Numer 250 poza zakresem dla ul. Górna - może być dla os. Górna;RYZYKO: Może przypisać do os. Górna jeśli numer nie pasuje do ulicy
TC-410;Błędna kombinacja;Numer budynku;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Strzelecka;180;Tomaszów Mazowiecki;97-200;InVerification;Strzelecka;180;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.3;>0.95;>0.9;<0.4;;false;Numer 180 poza zakresem dla ul. Strzelecka - może być dla os. Strzelecka;RYZYKO: Może przypisać do os. Strzelecka jeśli numer nie pasuje do ulicy
TC-411;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Piłsudskiego;500;Gorzów Wielkopolski;66-400;InVerification;Piłsudskiego;500;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.4;;false;Numer 500 poza zakresem dla ul. Piłsudskiego - może być dla rondo Piłsudskiego;RYZYKO: Może przypisać do rondo Piłsudskiego jeśli numer nie pasuje do ulicy
TC-412;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Wyszyńskiego;400;Gorzów Wielkopolski;66-400;InVerification;Wyszyńskiego;400;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.4;;false;Numer 400 poza zakresem dla ul. Wyszyńskiego - może być dla rondo Wyszyńskiego;RYZYKO: Może przypisać do rondo Wyszyńskiego jeśli numer nie pasuje do ulicy
TC-413;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Kościuszki;600;Wrocław;50-000;InVerification;Kościuszki;600;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.3;>0.95;>0.9;<0.4;;false;Numer 600 poza zakresem dla ul. Kościuszki - może być dla pl. Kościuszki;RYZYKO: Może przypisać do pl. Kościuszki jeśli numer nie pasuje do ulicy
TC-414;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Piłsudskiego;700;Wrocław;50-000;InVerification;Piłsudskiego;700;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.3;>0.95;>0.9;<0.4;;false;Numer 700 poza zakresem dla ul. Piłsudskiego - może być dla pl. Piłsudskiego;RYZYKO: Może przypisać do pl. Piłsudskiego jeśli numer nie pasuje do ulicy
TC-415;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Mickiewicza;800;Poznań;60-000;InVerification;Mickiewicza;800;Poznań;60-000;WIELKOPOLSKIE;Poznań;Poznań;<0.3;>0.95;>0.9;<0.4;;false;Numer 800 poza zakresem dla ul. Mickiewicza - może być dla pl. lub park Mickiewicza;RYZYKO: Może przypisać do pl. lub park Mickiewicza jeśli numer nie pasuje do ulicy
TC-416;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Jana Pawła II;900;Łódź;90-000;InVerification;Jana Pawła II;900;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.3;>0.95;>0.9;<0.4;;false;Numer 900 poza zakresem dla al. Jana Pawła II - może być dla pl. Jana Pawła II;RYZYKO: Może przypisać do pl. Jana Pawła II jeśli numer nie pasuje do alei
TC-417;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Broniewskiego;350;Łódź;90-000;InVerification;Broniewskiego;350;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.3;>0.95;>0.9;<0.4;;false;Numer 350 poza zakresem dla ul. Broniewskiego - może być dla rondo Broniewskiego;RYZYKO: Może przypisać do rondo Broniewskiego jeśli numer nie pasuje do ulicy
TC-418;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Matejki;450;Łódź;90-000;InVerification;Matejki;450;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.3;>0.95;>0.9;<0.4;;false;Numer 450 poza zakresem dla ul. Matejki - może być dla park Matejki;RYZYKO: Może przypisać do park Matejki jeśli numer nie pasuje do ulicy
TC-419;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Moniuszki;550;Łódź;90-000;InVerification;Moniuszki;550;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.3;>0.95;>0.9;<0.4;;false;Numer 550 poza zakresem dla ul. Moniuszki - może być dla park Moniuszki;RYZYKO: Może przypisać do park Moniuszki jeśli numer nie pasuje do ulicy
TC-420;Błędna kombinacja;Numer budynku;Medium;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Sienkiewicza;650;Łódź;90-000;InVerification;Sienkiewicza;650;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.3;>0.95;>0.9;<0.4;;false;Numer 650 poza zakresem dla ul. Sienkiewicza - może być dla park Sienkiewicza;RYZYKO: Może przypisać do park Sienkiewicza jeśli numer nie pasuje do ulicy
TC-401;Błędna kombinacja;Ulica z wieloma kodami;Medium;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Marszałkowska;15;Warszawa;00-002;InVerification;Marszałkowska;15;Warszawa;00-002;MAZOWIECKIE;Warszawa;Warszawa;<0.5;>0.95;>0.8;<0.6;;false;Ulica Marszałkowska może mieć wiele kodów - kod 00-002 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-402;Błędna kombinacja;Ulica z wieloma kodami;Medium;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Długa;25;Brodnica;87-301;InVerification;Długa;25;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.95;>0.8;<0.6;;false;Ulica Długa może mieć wiele kodów - kod 87-301 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-403;Błędna kombinacja;Ulica z wieloma kodami;Medium;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Lipowa;10;Brodnica;87-301;InVerification;Lipowa;10;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.95;>0.8;<0.6;;false;Ulica Lipowa może mieć wiele kodów - kod 87-301 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-404;Błędna kombinacja;Ulica z wieloma kodami;Low;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Kujawska;5;Zakrzewo;87-701;InVerification;Kujawska;5;Zakrzewo;87-701;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.5;>0.95;>0.8;<0.6;;false;Ulica Kujawska może mieć wiele kodów - kod 87-701 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-405;Błędna kombinacja;Ulica z wieloma kodami;Low;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Jana Pawła II;17;Lublin;20-539;InVerification;Jana Pawła II;17;Lublin;20-539;LUBELSKIE;Lublin;Lublin;<0.5;>0.95;>0.8;<0.6;;false;Ulica Jana Pawła II może mieć wiele kodów - kod 20-539 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-366;Błędna kombinacja;Wszystkie parametry;Highest;Wszystkie parametry błędne, ale mogą pasować do innego adresu;Lipowa;15;Warszawa;59-700;InVerification;Lipowa;15;Bolesławiec;59-700;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Lipowa, miasto Warszawa, kod 59-700 - kod pasuje do Bolesławca z ul. Lipową;RYZYKO: Może przypisać do Bolesławca zamiast Warszawy jeśli kod pasuje do Bolesławca
TC-367;Błędna kombinacja;Wszystkie parametry;Highest;Wszystkie parametry błędne, ale mogą pasować do innego adresu;Długa;50;Kraków;67-200;InVerification;Długa;50;Głogów;67-200;DOLNOŚLĄSKIE;głogowski;Głogów;<0.3;<0.5;>0.9;<0.3;;false;Ulica Długa, miasto Kraków, kod 67-200 - kod pasuje do Głogowa z ul. Długą;RYZYKO: Może przypisać do Głogowa zamiast Krakowa jeśli kod pasuje do Głogowa
TC-368;Błędna kombinacja;Wszystkie parametry;Highest;Wszystkie parametry błędne, ale mogą pasować do innego adresu;Polna;25;Warszawa;55-100;InVerification;Polna;25;Trzebnica;55-100;DOLNOŚLĄSKIE;trzebnicki;Trzebnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Polna, miasto Warszawa, kod 55-100 - kod pasuje do Trzebnicy z ul. Polną;RYZYKO: Może przypisać do Trzebnicy zamiast Warszawy jeśli kod pasuje do Trzebnicy
TC-421;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Lipowa;20;Brodnica;59-700;InVerification;Lipowa;20;Bolesławiec;59-700;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Lipowa, miasto Brodnica, kod 59-700 - kod pasuje do Bolesławca z ul. Lipową;RYZYKO: Może przypisać do Bolesławca zamiast Brodnicy jeśli kod pasuje do Bolesławca
TC-422;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Długa;30;Kraków;67-200;InVerification;Długa;30;Głogów;67-200;DOLNOŚLĄSKIE;głogowski;Głogów;<0.3;<0.5;>0.9;<0.3;;false;Ulica Długa, miasto Kraków, kod 67-200 - kod pasuje do Głogowa z ul. Długą;RYZYKO: Może przypisać do Głogowa zamiast Krakowa jeśli kod pasuje do Głogowa
TC-423;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Polna;40;Warszawa;55-100;InVerification;Polna;40;Trzebnica;55-100;DOLNOŚLĄSKIE;trzebnicki;Trzebnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Polna, miasto Warszawa, kod 55-100 - kod pasuje do Trzebnicy z ul. Polną;RYZYKO: Może przypisać do Trzebnicy zamiast Warszawy jeśli kod pasuje do Trzebnicy
TC-424;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Słoneczna;50;Brodnica;87-301;InVerification;Słoneczna;50;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Słoneczna, miasto Brodnica, kod 87-301 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-425;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Krótka;60;Bolesławiec;59-701;InVerification;Krótka;60;Bolesławiec;59-701;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Krótka, miasto Bolesławiec, kod 59-701 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-426;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Ogrodowa;70;Zakrzewo;87-701;InVerification;Ogrodowa;70;Zakrzewo;87-701;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Ogrodowa, miasto Zakrzewo, kod 87-701 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-427;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Szkolna;80;Brodnica;87-302;InVerification;Szkolna;80;Brodnica;87-302;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Szkolna, miasto Brodnica, kod 87-302 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-428;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Brzozowa;90;Bolesławiec;59-702;InVerification;Brzozowa;90;Bolesławiec;59-702;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Brzozowa, miasto Bolesławiec, kod 59-702 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-429;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Sosnowa;100;Zakrzewo;87-702;InVerification;Sosnowa;100;Zakrzewo;87-702;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Sosnowa, miasto Zakrzewo, kod 87-702 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-430;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Kwiatowa;110;Brodnica;87-303;InVerification;Kwiatowa;110;Brodnica;87-303;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Kwiatowa, miasto Brodnica, kod 87-303 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-431;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Łąkowa;120;Bolesławiec;59-703;InVerification;Łąkowa;120;Bolesławiec;59-703;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Łąkowa, miasto Bolesławiec, kod 59-703 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-432;Błędna kombinacja;Wszystkie parametry;High;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Akacjowa;130;Zakrzewo;87-703;InVerification;Akacjowa;130;Zakrzewo;87-703;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Akacjowa, miasto Zakrzewo, kod 87-703 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-433;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Dąbowa;140;Brodnica;87-304;InVerification;Dąbowa;140;Brodnica;87-304;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Dąbowa, miasto Brodnica, kod 87-304 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-434;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Spacerowa;150;Bolesławiec;59-704;InVerification;Spacerowa;150;Bolesławiec;59-704;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Spacerowa, miasto Bolesławiec, kod 59-704 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-435;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Spokojna;160;Zakrzewo;87-704;InVerification;Spokojna;160;Zakrzewo;87-704;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Spokojna, miasto Zakrzewo, kod 87-704 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-436;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Zielona;170;Brodnica;87-305;InVerification;Zielona;170;Brodnica;87-305;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Zielona, miasto Brodnica, kod 87-305 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-437;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Cicha;180;Bolesławiec;59-705;InVerification;Cicha;180;Bolesławiec;59-705;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Cicha, miasto Bolesławiec, kod 59-705 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-438;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Sportowa;190;Zakrzewo;87-705;InVerification;Sportowa;190;Zakrzewo;87-705;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Sportowa, miasto Zakrzewo, kod 87-705 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-439;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Parkowa;200;Brodnica;87-306;InVerification;Parkowa;200;Brodnica;87-306;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Parkowa, miasto Brodnica, kod 87-306 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-440;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Klonowa;210;Bolesławiec;59-706;InVerification;Klonowa;210;Bolesławiec;59-706;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Klonowa, miasto Bolesławiec, kod 59-706 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-441;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Świerkowa;220;Zakrzewo;87-706;InVerification;Świerkowa;220;Zakrzewo;87-706;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Świerkowa, miasto Zakrzewo, kod 87-706 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-442;Błędna kombinacja;Wszystkie parametry;Medium;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Kasztanowa;230;Brodnica;87-307;InVerification;Kasztanowa;230;Brodnica;87-307;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;<0.5;>0.9;<0.3;;false;Ulica Kasztanowa, miasto Brodnica, kod 87-307 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-443;Błędna kombinacja;Wszystkie parametry;Low;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Wrzosowa;240;Bolesławiec;59-707;InVerification;Wrzosowa;240;Bolesławiec;59-707;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.3;<0.5;>0.9;<0.3;;false;Ulica Wrzosowa, miasto Bolesławiec, kod 59-707 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
TC-444;Błędna kombinacja;Wszystkie parametry;Low;Wszystkie parametry błędne, ale pasują do innego miasta z tą samą ulicą;Pogodna;250;Zakrzewo;87-707;InVerification;Pogodna;250;Zakrzewo;87-707;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;<0.5;>0.9;<0.3;;false;Ulica Pogodna, miasto Zakrzewo, kod 87-707 - kod może być dla innej części miasta;RYZYKO: Może przypisać do innej części miasta jeśli kod pasuje do innej ulicy
