"NAZWA_WOJ";"NAZWA_POW";"NAZWA_GMI";"NAZWA_MIEJSCOWOSCI";"SYM_UL";"CECHA";"NAZWA_1";"NAZWA_2";"PASUJACA_CECHA"
"ZACHODNIOPOMORSKIE";"szczecinecki";"Szczecinek";"Szczecinek";"53799";"";"Rondo księżnej Jadwigi Brunszwickiej";"";"rondo"
"MAŁOPOLSKIE";"oświęcimski";"Oświęcim";"Oświęcim";"53846";"";"Rondo Spadochroniarzy";"";"rondo"
"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"Szczecin";"54018";"";"park Orderu Uśmiechu";"";"park"
"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"Szczecin";"54020";"";"skwer Zdrowia im. dr. Henryka Kompfa";"";"skwer"
"ŚWIĘTOKRZYSKIE";"kazimierski";"Kazimierza Wielka";"Kazimierza Wielka";"53979";"";"Rondo im. mjr Ludwika Zwolańskiego";"";"rondo"
"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"53996";"";"rondo Lecha Bądkowskiego";"";"rondo"
"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"53464";"";"Rondo 100-lecia Odzyskania Niepodległości";"";"rondo"
"MAZOWIECKIE";"piaseczyński";"Konstancin-Jeziorna";"Konstancin-Jeziorna";"54069";"";"Skwer im. Rodziny Natansonów";"";"skwer"
"PODKARPACKIE";"Rzeszów";"Rzeszów";"Rzeszów";"54085";"";"Rondo im. Żołnierzy 10 Sudeckiej Dywizji Piechoty";"";"rondo"
"POMORSKIE";"chojnicki";"Chojnice";"Krojanty";"54088";"";"Rondo im. Płka Kazimierza Mastalerza";"";"rondo"
"OPOLSKIE";"Opole";"Opole";"Opole";"42785";"pl.";"Rondo gen. Tadeusza Rozwadowskiego";"";"rondo"
"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"Kraków";"53974";"";"Skwer Jerzego Turaszwiliego";"";"skwer"
"MAZOWIECKIE";"Siedlce";"Siedlce";"Siedlce";"53987";"";"Skwer Tadeusza Kościuszki";"";"skwer"
"MAZOWIECKIE";"Warszawa";"Wola";"Warszawa";"54007";"";"Skwer Integracji";"";"skwer"
"MAZOWIECKIE";"Warszawa";"Wola";"Warszawa";"54008";"";"Skwer Stefana Kuryłowicza";"";"skwer"
"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"54169";"";"Park Jelitkowski";"";"park"
"WIELKOPOLSKIE";"Leszno";"Leszno";"Leszno";"54175";"";"Rondo Imienia Romana Dmowskiego";"";"rondo"
"POMORSKIE";"słupski";"Ustka";"Ustka";"54194";"";"Skwer Pożarników Polskich";"";"skwer"
"MAZOWIECKIE";"płoński";"Płońsk";"Płońsk";"53464";"";"Rondo 100-lecia Odzyskania Niepodległości";"";"rondo"
"DOLNOŚLĄSKIE";"oleśnicki";"Syców";"Syców";"53512";"";"Rondo 100-lecia Niepodległości";"";"rondo"
"LUBELSKIE";"parczewski";"Dębowa Kłoda";"Dębowa Kłoda";"54215";"";"Skwer Saint-Varent";"";"skwer"
"LUBELSKIE";"biłgorajski";"Józefów";"Józefów";"54230";"ul.";"Al. 100-lecia Niepodległości";"";"al."
"LUBELSKIE";"biłgorajski";"Józefów";"Hamernia";"54230";"ul.";"Al. 100-lecia Niepodległości";"";"al."
"ZACHODNIOPOMORSKIE";"kołobrzeski";"Gościno";"Gościno";"54237";"";"Rondo św. Franciszka";"";"rondo"
"MAZOWIECKIE";"wyszkowski";"Wyszków";"Wyszków";"54072";"";"Rondo im. Stanisława Wróbla ""Jaskółki""";"";"rondo"
"LUBUSKIE";"żarski";"Żary";"Żary";"54082";"";"Rondo im. 100-lecia Odzyskania Niepodległości RP";"";"rondo"
"ŚLĄSKIE";"Siemianowice Śląskie";"Siemianowice Śląskie";"Siemianowice Śląskie";"54157";"";"Skwer Laury";"";"skwer"
"MAZOWIECKIE";"węgrowski";"Węgrów";"Węgrów";"54039";"";"Skwer 3 Maja";"";"skwer"
"MAŁOPOLSKIE";"dąbrowski";"Olesno";"Swarzów";"54096";"";"Rondo Chicago";"";"rondo"
"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"54170";"";"Park Ks. Kanonika Kazimierza Orkusza";"";"park"
"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"41872";"";"Skwer Prymasowski";"";"skwer"
"DOLNOŚLĄSKIE";"dzierżoniowski";"Dzierżoniów";"Dzierżoniów";"42701";"";"Rondo Gruzińskie";"";"rondo"
"KUJAWSKO-POMORSKIE";"inowrocławski";"Gniewkowo";"Gniewkowo";"53923";"";"Skwer 750-lecia Gniewkowa";"";"skwer"
"ŚLĄSKIE";"Częstochowa";"Częstochowa";"Częstochowa";"53937";"";"Rondo księdza kardynała Władysława Rubina";"";"rondo"
"MAZOWIECKIE";"grójecki";"Warka";"Warka";"53954";"";"Park Saski";"";"park"
"WARMIŃSKO-MAZURSKIE";"węgorzewski";"Węgorzewo";"Węgorzewo";"53995";"";"Rondo im. ks. Piotra Mazurka SDS";"";"rondo"
"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"53999";"";"Rondo Marii Pileckiej";"";"rondo"
"MAZOWIECKIE";"Warszawa";"Bielany";"Warszawa";"54015";"";"Skwer Jerzego Jarnuszkiewicza";"";"skwer"
"LUBUSKIE";"świebodziński";"Świebodzin";"Świebodzin";"46936";"";"Rondo Wileńskie";"";"rondo"
"KUJAWSKO-POMORSKIE";"mogileński";"Mogilno";"Mogilno";"54031";"";"rondo Engelskirchen";"";"rondo"
"ŚLĄSKIE";"Chorzów";"Chorzów";"Chorzów";"54052";"";"Rondo Wincentego Spaltensteina";"";"rondo"
"MAZOWIECKIE";"wołomiński";"Wołomin";"Wołomin";"54107";"";"Rondo im. Zbigniewa Romaszewskiego";"";"rondo"
"ŁÓDZKIE";"Piotrków Trybunalski";"Piotrków Trybunalski";"Piotrków Trybunalski";"54159";"";"Skwer Stanisława Srzednickiego";"";"skwer"
"DOLNOŚLĄSKIE";"oleśnicki";"Twardogóra";"Twardogóra";"45746";"";"Rondo im. Józefa Piłsudskiego";"";"rondo"
"DOLNOŚLĄSKIE";"oleśnicki";"Twardogóra";"Sądrożyce";"45746";"";"Rondo im. Józefa Piłsudskiego";"";"rondo"
"MAZOWIECKIE";"sochaczewski";"Teresin";"Teresin";"54177";"pl.";"Skwer Niepodległości";"";"skwer"
"ZACHODNIOPOMORSKIE";"pyrzycki";"Lipiany";"Lipiany";"44137";"";"Rondo Zesłańców Sybiru";"";"rondo"
"MAZOWIECKIE";"pruszkowski";"Nadarzyn";"Młochów";"54195";"";"Park w Młochowie im. Janusza Grzyba";"";"park"
"ŚLĄSKIE";"Sosnowiec";"Sosnowiec";"Sosnowiec";"54214";"";"Rondo Ludwik";"";"rondo"
"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"54172";"";"Skwer im. Harcerzy Polskich w byłym Wolnym Mieście Gdańsku";"";"skwer"
"ZACHODNIOPOMORSKIE";"kołobrzeski";"Gościno";"Gościno";"43533";"";"Rondo Wolności";"";"rondo"
"ŚLĄSKIE";"Rybnik";"Rybnik";"Rybnik";"54240";"";"Rondo Gotartowickie";"";"rondo"
"PODKARPACKIE";"jarosławski";"Pruchnik";"Pruchnik";"19253";"ul.";"Rynek";"";"rynek"
"ZACHODNIOPOMORSKIE";"stargardzki";"Stargard";"Stargard";"42896";"";"Park Bolesława Chrobrego";"";"park"
"ZACHODNIOPOMORSKIE";"stargardzki";"Stargard";"Stargard";"42906";"";"Park Piastowski";"";"park"
"LUBELSKIE";"włodawski";"Hanna";"Hanna";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"oświęcimski";"Zator";"Zator";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"Grudziądz";"Grudziądz";"Grudziądz";"42501";"";"Rondo rotm. Witolda Pileckiego";"";"rondo"
"KUJAWSKO-POMORSKIE";"Grudziądz";"Grudziądz";"Grudziądz";"42983";"";"Rondo Matematyka Jana Sikorskiego";"";"rondo"
"KUJAWSKO-POMORSKIE";"brodnicki";"Jabłonowo Pomorskie";"Jabłonowo Pomorskie";"54221";"";"Skwer Błogosławionej Marii Karłowskiej";"";"skwer"
"ŚWIĘTOKRZYSKIE";"konecki";"Końskie";"Końskie";"54223";"";"Park Miejski im. Małachowskich";"";"park"
"ŚLĄSKIE";"Rybnik";"Rybnik";"Rybnik";"54245";"";"Rondo Meksyk";"";"rondo"
"ŚLĄSKIE";"Rybnik";"Rybnik";"Rybnik";"54246";"";"Rondo Europejskie";"";"rondo"
"MAZOWIECKIE";"sochaczewski";"Sochaczew";"Sochaczew";"54259";"";"rondo Braci Garczyńskich";"";"rondo"
"PODKARPACKIE";"stalowowolski";"Stalowa Wola";"Stalowa Wola";"54262";"";"Rondo im. Arcybiskupa Ignacego Tokarczuka";"";"rondo"
"PODKARPACKIE";"stalowowolski";"Stalowa Wola";"Stalowa Wola";"54263";"";"Skwer Pamięci Ofiar OUN-UPA";"";"skwer"
"WIELKOPOLSKIE";"grodziski";"Rakoniewice";"Rakoniewice";"54328";"";"Rondo im. Rudolfa Reindersa";"";"rondo"
"MAZOWIECKIE";"legionowski";"Legionowo";"Legionowo";"42935";"";"Park Miejski im. Kościuszkowców";"";"park"
"ZACHODNIOPOMORSKIE";"kołobrzeski";"Kołobrzeg";"Kołobrzeg";"42892";"";"Park Generała Jana Henryka Dąbrowskiego";"";"park"
"PODKARPACKIE";"rzeszowski";"Trzebownisko";"Wólka Podleśna";"57421";"";"Rondo im. ks. Jana Kalinki";"";"rondo"
"WIELKOPOLSKIE";"średzki";"Środa Wielkopolska";"Środa Wielkopolska";"57689";"";"Skwer Stara Gazownia";"";"skwer"
"POMORSKIE";"kartuski";"Sierakowice";"Tuchlino";"35630";"ul.";"Droga Mleczna";"";"droga"
"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"54056";"";"Skwer Józefa Ryszki";"";"skwer"
"LUBUSKIE";"żarski";"Żary";"Żary";"54081";"";"Rondo im. Jerzego Wiśniewskiego";"";"rondo"
"MAZOWIECKIE";"wołomiński";"Wołomin";"Leśniakowizna";"54108";"";"Rondo im. Bohaterów Majdanu 20 Lipca 1944 roku";"";"rondo"
"MAZOWIECKIE";"wołomiński";"Wołomin";"Majdan";"54108";"";"Rondo im. Bohaterów Majdanu 20 Lipca 1944 roku";"";"rondo"
"WIELKOPOLSKIE";"Leszno";"Leszno";"Leszno";"54174";"";"Rondo Zaborowo";"";"rondo"
"LUBUSKIE";"Zielona Góra";"Zielona Góra";"Zielona Góra";"46976";"";"Rondo Piastów Śląskich";"";"rondo"
"POMORSKIE";"słupski";"Ustka";"Ustka";"54201";"";"Park Usteckich Stoczniowców";"";"park"
"WIELKOPOLSKIE";"gnieźnieński";"Łubowo";"Łubowo";"43745";"";"Rondo Powstańców Wielkopolskich";"";"rondo"
"ZACHODNIOPOMORSKIE";"stargardzki";"Stargard";"Stargard";"59189";"";"Skwer Jana Wojtowicza";"";"skwer"
"DOLNOŚLĄSKIE";"karkonoski";"Szklarska Poręba";"Szklarska Poręba";"59192";"pl.";"Skwer Twórców Radiowej Trójki";"";"skwer"
"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"57809";"";"Skwer Kasi Sobczyk";"";"skwer"
"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"57810";"";"Skwer prof. Jana Filipkowskiego";"";"skwer"
"MAZOWIECKIE";"białobrzeski";"Stromiec";"Stromiec";"57858";"";"Skwer 100-lecia Bitwy Warszawskiej";"";"skwer"
"PODLASKIE";"Suwałki";"Suwałki";"Suwałki";"33949";"";"Park Północny";"";"park"
"LUBELSKIE";"biłgorajski";"Biłgoraj";"Biłgoraj";"57911";"pl.";"Rynek Żydowski";"";"rynek"
"ZACHODNIOPOMORSKIE";"kołobrzeski";"Gościno";"Gościno";"54236";"";"Rondo Różane";"";"rondo"
"ZACHODNIOPOMORSKIE";"kołobrzeski";"Gościno";"Gościno";"54238";"";"Rondo Lawendowe";"";"rondo"
"ZACHODNIOPOMORSKIE";"myśliborski";"Barlinek";"Barlinek";"44137";"";"Rondo Zesłańców Sybiru";"";"rondo"
"LUBUSKIE";"nowosolski";"Nowa Sól";"Nowa Sól";"57936";"";"Rondo im. Kresowian";"";"rondo"
"LUBUSKIE";"nowosolski";"Nowa Sól";"Nowa Sól";"51660";"";"Skwer im. Żołnierzy Niezłomnych";"";"skwer"
"LUBELSKIE";"tomaszowski";"Tomaszów Lubelski";"Tomaszów Lubelski";"56507";"";"Rondo im. Premiera Jana Olszewskiego";"";"rondo"
"DOLNOŚLĄSKIE";"wałbrzyski";"Szczawno-Zdrój";"Szczawno-Zdrój";"59342";"";"Rondo Alfonsa Szyperskiego";"";"rondo"
"POMORSKIE";"kwidzyński";"Prabuty";"Prabuty";"59345";"";"Rondo Miłości";"";"rondo"
"DOLNOŚLĄSKIE";"wałbrzyski";"Szczawno-Zdrój";"Szczawno-Zdrój";"59361";"";"Skwer Olgi Tokarczuk";"";"skwer"
"MAŁOPOLSKIE";"krakowski";"Wielka Wieś";"Modlnica";"59398";"";"Rondo Galicyjskie";"";"rondo"
"WIELKOPOLSKIE";"rawicki";"Rawicz";"Rawicz";"59200";"";"Rondo im. Księdza Zdzisława Zakrzewskiego";"";"rondo"
"WIELKOPOLSKIE";"turecki";"Turek";"Turek";"59259";"";"Park imienia Edwarda Linke";"";"park"
"MAŁOPOLSKIE";"limanowski";"Limanowa";"Limanowa";"41176";"";"Rondo NSZZ ""Solidarność""";"";"rondo"
"ŚLĄSKIE";"Gliwice";"Gliwice";"Gliwice";"59356";"";"Rondo Nowych Perspektyw";"";"rondo"
"ŚLĄSKIE";"tarnogórski";"Tarnowskie Góry";"Tarnowskie Góry";"57781";"";"Rondo im. Bractwa Kurkowego";"";"rondo"
"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"57796";"";"rondo Kazimierza Ulatowskiego";"";"rondo"
"DOLNOŚLĄSKIE";"ząbkowicki";"Kamieniec Ząbkowicki";"Kamieniec Ząbkowicki";"57899";"";"Skwer im. Pary Prezydenckiej Marii i Lecha Kaczyńskich";"";"skwer"
"MAZOWIECKIE";"sochaczewski";"Sochaczew";"Sochaczew";"54258";"";"rondo Chodaków";"";"rondo"
"POMORSKIE";"tczewski";"Tczew";"Tczew";"54325";"";"Rondo Spółdzielców";"";"rondo"
"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"54325";"";"Rondo Spółdzielców";"";"rondo"
"ŚLĄSKIE";"Chorzów";"Chorzów";"Chorzów";"57823";"";"Skwer imienia Rotmistrza Witolda Pileckiego";"";"skwer"
"ZACHODNIOPOMORSKIE";"policki";"Police";"Police";"57828";"";"Skwer Bolesława Krzywoustego";"";"skwer"
"MAZOWIECKIE";"warszawski zachodni";"Stare Babice";"Zielonki-Parcela";"57933";"";"rondo imienia Wielkiej Orkiestry Świątecznej Pomocy";"";"rondo"
"MAŁOPOLSKIE";"krakowski";"Krzeszowice";"Nowa Góra";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"Kraków";"Kraków-Podgórze";"Kraków";"57950";"";"Rondo Republiki Słowackiej";"";"rondo"
"DOLNOŚLĄSKIE";"milicki";"Krośnice";"Świebodów";"57986";"";"Skwer Ryszarda Szurkowskiego";"";"skwer"
"MAZOWIECKIE";"Warszawa";"Mokotów";"Warszawa";"57965";"";"Skwer Pokolenia Kolumbów";"";"skwer"
"MAŁOPOLSKIE";"Tarnów";"Tarnów";"Tarnów";"59202";"";"Rondo Krzyskie";"";"rondo"
"WIELKOPOLSKIE";"turecki";"Turek";"Turek";"59257";"";"Park Tura";"";"park"
"PODLASKIE";"Białystok";"Białystok";"Białystok";"59430";"";"Rondo prof. Andrzeja Łapko";"";"rondo"
"LUBELSKIE";"tomaszowski";"Tomaszów Lubelski";"Tomaszów Lubelski";"59445";"ul.";"Al. Grunwaldzkie";"";"al."
"PODKARPACKIE";"Rzeszów";"Rzeszów";"Rzeszów";"59482";"";"Skwer im. ks. Infułata Stanisława Maca";"";"skwer"
"PODLASKIE";"Białystok";"Białystok";"Białystok";"59499";"";"Park Janiny Kurkowskiej-Spychajowej";"";"park"
"ŚLĄSKIE";"myszkowski";"Myszków";"Myszków";"59495";"";"rondo im. Jana Jerzego Kułakowskiego";"";"rondo"
"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"Kraków";"59538";"";"Skwer Piotra Skrzyneckiego";"";"skwer"
"WARMIŃSKO-MAZURSKIE";"giżycki";"Wydminy";"Wydminy";"57990";"";"Skwer Pokoleń Mazura Wydminy";"";"skwer"
"ŚLĄSKIE";"Siemianowice Śląskie";"Siemianowice Śląskie";"Siemianowice Śląskie";"58044";"";"Rondo Maciej";"";"rondo"
"ŚLĄSKIE";"mikołowski";"Mikołów";"Mikołów";"51310";"";"Rondo Śląskie";"";"rondo"
"ŚLĄSKIE";"mikołowski";"Mikołów";"Mikołów";"38341";"";"Rondo Unii Europejskiej";"";"rondo"
"ŚLĄSKIE";"myszkowski";"Myszków";"Myszków";"59364";"";"Skwer pułkownika Teodora Cieszkowskiego";"";"skwer"
"MAZOWIECKIE";"warszawski zachodni";"Ożarów Mazowiecki";"Ożarów Mazowiecki";"59409";"";"Skwer Błogosławionego Kardynała Stefana Wyszyńskiego";"";"skwer"
"WARMIŃSKO-MAZURSKIE";"nidzicki";"Nidzica";"Nidzica";"57431";"";"Rondo Bitwy Warszawskiej 1920";"";"rondo"
"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"44726";"";"Rondo Wielkiej Orkiestry Świątecznej Pomocy";"";"rondo"
"LUBELSKIE";"Chełm";"Chełm";"Chełm";"59427";"";"Rondo im. Jeńców Stalagu 319";"";"rondo"
"OPOLSKIE";"Opole";"Opole";"Opole";"59434";"pl.";"Skwer im. gen. Marii Wittek";"";"skwer"
"MAŁOPOLSKIE";"brzeski";"Brzesko";"Brzesko";"59440";"";"Skwer Jana Burlikowskiego";"";"skwer"
"MAŁOPOLSKIE";"Tarnów";"Tarnów";"Tarnów";"59479";"";"Skwer Kazimierza Abratowskiego";"";"skwer"
"DOLNOŚLĄSKIE";"Jelenia Góra";"Jelenia Góra";"Jelenia Góra";"59486";"";"Rondo Jerzego Szmajdzińskiego";"";"rondo"
"LUBUSKIE";"nowosolski";"Nowa Sól";"Nowa Sól";"57935";"";"Rondo PCK";"";"rondo"
"MAŁOPOLSKIE";"krakowski";"Krzeszowice";"Nowa Góra";"57957";"ul.";"Droga Szwedzka";"";"droga"
"ŚLĄSKIE";"Siemianowice Śląskie";"Siemianowice Śląskie";"Siemianowice Śląskie";"58043";"";"Skwer Antoniego Halora";"";"skwer"
"WIELKOPOLSKIE";"nowotomyski";"Zbąszyń";"Zbąszyń";"19253";"ul.";"Rynek";"";"rynek"
"WIELKOPOLSKIE";"poznański";"Puszczykowo";"Puszczykowo";"19253";"ul.";"Rynek";"";"rynek"
"ŚLĄSKIE";"mikołowski";"Mikołów";"Mikołów";"58095";"";"Rondo Demokracji";"";"rondo"
"LUBELSKIE";"chełmski";"Dorohusk";"Brzeźno";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"Piotrków Trybunalski";"Piotrków Trybunalski";"Piotrków Trybunalski";"58115";"ul.";"Al. Armii Krajowej";"";"al."
"MAŁOPOLSKIE";"wadowicki";"Wadowice";"Wadowice";"15702";"";"Park Miejski";"";"park"
"MAZOWIECKIE";"Warszawa";"Wawer";"Warszawa";"58148";"";"Rondo Ochrony Przyrody";"";"rondo"
"OPOLSKIE";"Opole";"Opole";"Opole";"19253";"ul.";"Rynek";"";"rynek"
"ZACHODNIOPOMORSKIE";"myśliborski";"Barlinek";"Barlinek";"55671";"";"Rondo Polskich Dzieci Wojny";"";"rondo"
"LUBELSKIE";"radzyński";"Radzyń Podlaski";"Radzyń Podlaski";"57855";"";"Rondo im. Papieża Jana Pawła II";"";"rondo"
"ŚLĄSKIE";"gliwicki";"Knurów";"Knurów";"57929";"";"Rondo im. marszałka Ferdynanda Focha";"";"rondo"
"LUBELSKIE";"Chełm";"Chełm";"Chełm";"59290";"";"Rondo im. Bogusława Mikusa";"";"rondo"
"WIELKOPOLSKIE";"poznański";"Puszczykowo";"Puszczykowo";"56671";"";"Skwer Unii Europejskiej";"";"skwer"
"MAZOWIECKIE";"pruszkowski";"Brwinów";"Otrębusy";"59358";"";"Rondo Zespołu ""Mazowsze""";"";"rondo"
"WIELKOPOLSKIE";"pilski";"Piła";"Piła";"59414";"";"Skwer Strażaków";"";"skwer"
"ZACHODNIOPOMORSKIE";"gryfiński";"Stare Czarnowo";"Kołowo";"59415";"";"Skwer im. Stanisława Pomian-Srzednickiego";"";"skwer"
"PODLASKIE";"białostocki";"Łapy";"Łapy";"59429";"";"Rondo im. 6 Wileńskiej Brygady Armii Krajowej";"";"rondo"
"MAŁOPOLSKIE";"Tarnów";"Tarnów";"Tarnów";"59480";"";"Skwer Józefy Kantorówny i Stefanii Łąckiej";"";"skwer"
"LUBELSKIE";"tomaszowski";"Susiec";"Susiec";"59484";"";"Park im. Sylwestra Chęcińskiego";"";"park"
"PODKARPACKIE";"mielecki";"Mielec";"Mielec";"55022";"";"Skwer Ignacego Jana Paderewskiego";"";"skwer"
"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"Kraków";"59540";"";"Skwer Wolnej Ukrainy";"";"skwer"
"WIELKOPOLSKIE";"grodziski";"Grodzisk Wielkopolski";"Grodzisk Wielkopolski";"59536";"";"Rondo im. ppłk Józefa Skrzydlewskiego";"";"rondo"
"ŁÓDZKIE";"Piotrków Trybunalski";"Piotrków Trybunalski";"Piotrków Trybunalski";"58107";"pl.";"Rynek Trybunalski";"";"rynek"
"MAZOWIECKIE";"Warszawa";"Bemowo";"Warszawa";"58144";"";"Rondo Stanisława Saksa";"";"rondo"
"MAŁOPOLSKIE";"wadowicki";"Andrychów";"Inwałd";"58165";"";"Os. Nowe";"";"os."
"ZACHODNIOPOMORSKIE";"szczecinecki";"Szczecinek";"Szczecinek";"58180";"ul.";"Pl. Winniczny";"";"pl."
"ZACHODNIOPOMORSKIE";"szczecinecki";"Szczecinek";"Szczecinek";"58182";"ul.";"Pl. Sowińskiego";"";"pl."
"ŚLĄSKIE";"Żory";"Żory";"Żory";"59388";"";"Park Cegielnia";"";"park"
"POMORSKIE";"tczewski";"Pelplin";"Pelplin";"59420";"";"Rondo im. Józefa Przygodzińskiego";"";"rondo"
"MAZOWIECKIE";"mławski";"Mława";"Mława";"57927";"";"Skwer Druha Zygmunta Wiśniewskiego";"";"skwer"
"PODKARPACKIE";"rzeszowski";"Głogów Małopolski";"Głogów Małopolski";"57997";"";"Park im. Aleksandra Ładosia";"";"park"
"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"Szczecin";"57999";"";"rondo Andrzeja Forysia";"";"rondo"
"PODLASKIE";"wysokomazowiecki";"Czyżew";"Czyżew";"58014";"";"Park Miejski w Czyżewie im. prof. Mariana Sokołowskiego";"";"park"
"MAŁOPOLSKIE";"myślenicki";"Myślenice";"Myślenice";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"świdnicki";"Świdnica";"Świdnica";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"kłodzki";"Kłodzko";"Kłodzko";"59568";"";"Park Sybiraków";"";"park"
"MAZOWIECKIE";"wołomiński";"Ząbki";"Ząbki";"59642";"";"rondo Młodzieży";"";"rondo"
"LUBELSKIE";"chełmski";"Chełm";"Okszów-Kolonia";"47123";"";"Skwer im. św. Jana Pawła II";"";"skwer"
"ŁÓDZKIE";"Piotrków Trybunalski";"Piotrków Trybunalski";"Piotrków Trybunalski";"58108";"ul.";"Al. Generała Władysława Sikorskiego";"";"al."
"MAZOWIECKIE";"Warszawa";"Mokotów";"Warszawa";"58145";"";"Skwer Wacława Lipińskiego";"";"skwer"
"MAŁOPOLSKIE";"Kraków";"Kraków-Nowa Huta";"Kraków";"58143";"";"Skwer Michała Beliny-Czechowskiego";"";"skwer"
"MAŁOPOLSKIE";"olkuski";"Wolbrom";"Wolbrom";"59471";"";"Rondo Petera Westena";"";"rondo"
"MAŁOPOLSKIE";"olkuski";"Wolbrom";"Wolbrom";"59473";"";"Rondo 1 Pułku Ułanów Krechowieckich";"";"rondo"
"MAŁOPOLSKIE";"nowosądecki";"Stary Sącz";"Stary Sącz";"40311";"";"Rondo im. Jana Pawła II";"";"rondo"
"KUJAWSKO-POMORSKIE";"Bydgoszcz";"Bydgoszcz";"Bydgoszcz";"59553";"";"skwer świętej Rity";"";"skwer"
"MAZOWIECKIE";"ciechanowski";"Ciechanów";"Ciechanów";"59573";"";"Rondo im. Jerzego Michała Bogusławskiego";"";"rondo"
"POMORSKIE";"wejherowski";"Łęczyce";"Brzeźno Lęborskie";"59629";"";"Skwer im. ks. Stanisława Galasa";"";"skwer"
"ŚLĄSKIE";"myszkowski";"Myszków";"Myszków";"59663";"";"Rondo Rzeczypospolitej";"";"rondo"
"MAZOWIECKIE";"pruszkowski";"Pruszków";"Pruszków";"59683";"";"Skwer Pruszkowskich Kombatantów";"";"skwer"
"MAŁOPOLSKIE";"Kraków";"Kraków-Nowa Huta";"Kraków";"55569";"";"Skwer Wielkiej Orkiestry Świątecznej Pomocy";"";"skwer"
"POMORSKIE";"słupski";"Ustka";"Przewłoka";"59474";"";"Rondo im. Danuty Siedzikówny ps. ""INKA""";"";"rondo"
"MAŁOPOLSKIE";"olkuski";"Wolbrom";"Wolbrom";"59472";"";"Rondo Władysława Wołkowskiego";"";"rondo"
"LUBUSKIE";"strzelecko-drezdenecki";"Dobiegniew";"Dobiegniew";"44756";"";"Rondo im. Marszałka Józefa Piłsudskiego";"";"rondo"
"WIELKOPOLSKIE";"grodziski";"Grodzisk Wielkopolski";"Grodzisk Wielkopolski";"46831";"";"Rondo im. św. Jana Pawła II";"";"rondo"
"WIELKOPOLSKIE";"Konin";"Konin";"Konin";"59549";"";"Rondo im. Podoficerów Małoletnich";"";"rondo"
"DOLNOŚLĄSKIE";"dzierżoniowski";"Dzierżoniów";"Dzierżoniów";"44726";"";"Rondo Wielkiej Orkiestry Świątecznej Pomocy";"";"rondo"
"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"Kraków";"57924";"";"Skwer im. Janiny Paradowskiej";"";"skwer"
"MAZOWIECKIE";"przasnyski";"Przasnysz";"Przasnysz";"57930";"";"Park Miejski im. Stefana Cieleckiego ps. ""Orlik""";"";"park"
"MAŁOPOLSKIE";"krakowski";"Skawina";"Skawina";"53089";"";"Rondo im. Marii i Lecha Kaczyńskich";"";"rondo"
"MAŁOPOLSKIE";"Kraków";"Kraków-Krowodrza";"Kraków";"49133";"";"Skwer Tajnej Organizacji Nauczycielskiej";"";"skwer"
"KUJAWSKO-POMORSKIE";"rypiński";"Rypin";"Rypin";"45320";"";"Skwer Żołnierzy Wyklętych";"";"skwer"
"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"59697";"";"Skwer Bohaterskiego Mariupola";"";"skwer"
"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"59733";"";"Rondo Olimpii Osowa";"";"rondo"
"OPOLSKIE";"namysłowski";"Namysłów";"Namysłów";"42527";"";"Rondo NSZZ Solidarność";"";"rondo"
"MAŁOPOLSKIE";"wielicki";"Niepołomice";"Niepołomice";"58155";"";"Park Miejski imienia Andrzeja Wimmera";"";"park"
