TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;UWAGI;RYZYKO_BLEDU
TC-214;Błędna kombinacja;High;"Niezgodność cecha - Chełmno: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Chełmno;86-200;ul. rynek Rynek;;Chełmno;86-200;;;;<0.7;<0.7;<0.7;<0.7;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-215;Błędna kombinacja;High;"Niezgodność cecha - Duszniki-Zdrój: wpisano """" ale powinno być ""rynek""";Rynek;;Duszniki-Zdrój;;ul. rynek Rynek;;Duszniki-Zdrój;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-216;Błędna kombinacja;High;"Niezgodność cecha - Prusice: wpisano """" ale powinno być ""rynek""";Rynek;;Prusice;;ul. rynek Rynek;;Prusice;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-217;Błędna kombinacja;High;"Niezgodność cecha - Strupina: wpisano """" ale powinno być ""rynek""";Rynek;;Strupina;;ul. rynek Rynek;;Strupina;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-218;Błędna kombinacja;High;"Niezgodność cecha - Trzebnica: wpisano """" ale powinno być ""rynek""";Rynek;;Trzebnica;;ul. rynek Rynek;;Trzebnica;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-219;Błędna kombinacja;High;"Niezgodność cecha - Brzeg Dolny: wpisano """" ale powinno być ""rynek""";Rynek;;Brzeg Dolny;;ul. rynek Rynek;;Brzeg Dolny;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-220;Błędna kombinacja;High;"Niezgodność cecha - Wołów: wpisano """" ale powinno być ""rynek""";Rynek;;Wołów;;ul. rynek Rynek;;Wołów;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-221;Błędna kombinacja;High;"Niezgodność cecha - Przesieka: wpisano ""ul."" ale powinno być ""droga""";ul. Droga do Wodospadu;;Przesieka;;ul. droga Droga do Wodospadu;;Przesieka;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""droga""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-222;Błędna kombinacja;High;"Niezgodność cecha - Grudziądz: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Grudziądz;;ul. rynek Rynek;;Grudziądz;;;;;<0.7;<0.7;<0.7;<0.7;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-223;Błędna kombinacja;High;Chełm - wpisano ul. Żwirki i Wigury, ale kod pocztowy z pl. Żwirki i Wigury;Żwirki i Wigury;;Chełm;00-001;ul. Żwirki i Wigury;;Chełm;20-001;LUBELSKIE;Chełm;Chełm;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Chełm: ul. vs pl. Żwirki i Wigury mają różne SYM_UL (różne kody);RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-224;Błędna kombinacja;High;Lublin - wpisano ul. Dmowskiego, ale kod pocztowy z rondo Dmowskiego;Dmowskiego;;Lublin;00-001;ul. Dmowskiego;;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Lublin: ul. vs rondo Dmowskiego mają różne SYM_UL;RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-225;Błędna kombinacja;High;Gorzów Wielkopolski - wpisano ul. Grobla, ale kod pocztowy z rondo Grobla;Grobla;;Gorzów Wielkopolski;00-400;ul. Grobla;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Gorzów: ul. vs rondo Grobla mają różne SYM_UL;RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-226;Błędna kombinacja;High;Inowrocław - wpisano ul. Kasprowicza, ale kod pocztowy z pl. Kasprowicza;Kasprowicza;;Inowrocław;00-100;ul. Kasprowicza Jana;;Inowrocław;88-100;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Inowrocław: ul. vs pl. Kasprowicza mają różne SYM_UL;RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-227;Błędna kombinacja;High;Tomaszów Mazowiecki - wpisano ul. Górna, ale kod pocztowy z os. Górna;Górna;;Tomaszów Mazowiecki;00-200;os. Górna;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Tomaszów Mazowiecki: ul. vs os. Górna mają różne SYM_UL;RYZYKO: Może przypisać do os. zamiast ul. jeśli kod pasuje do osiedla
TC-228;Błędna kombinacja;High;Tomaszów Mazowiecki - wpisano ul. Strzelecka, ale kod pocztowy z os. Strzelecka;Strzelecka;;Tomaszów Mazowiecki;00-200;ul. Strzelecka;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Tomaszów Mazowiecki: ul. vs os. Strzelecka mają różne SYM_UL;RYZYKO: Może przypisać do os. zamiast ul. jeśli kod pasuje do osiedla
TC-229;Błędna kombinacja;High;Gorzów Wielkopolski - wpisano ul. Piłsudskiego, ale kod pocztowy z rondo Piłsudskiego;Piłsudskiego;;Gorzów Wielkopolski;00-400;ul. Piłsudskiego marsz. Józefa;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Gorzów: ul. vs rondo Piłsudskiego mają różne SYM_UL;RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-230;Błędna kombinacja;High;Gorzów Wielkopolski - wpisano ul. Wyszyńskiego, ale kod pocztowy z rondo Wyszyńskiego;Wyszyńskiego;;Gorzów Wielkopolski;00-400;ul. Wyszyńskiego kard. Stefana;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Gorzów: ul. vs rondo Wyszyńskiego mają różne SYM_UL;RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-231;Błędna kombinacja;High;Łódź - wpisano ul. Broniewskiego, ale kod pocztowy z rondo Broniewskiego;Broniewskiego;;Łódź;00-000;ul. Broniewskiego Władysława;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Łódź: ul. vs rondo Broniewskiego mają różne SYM_UL;RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-232;Błędna kombinacja;High;Wrocław - wpisano ul. Kościuszki, ale kod pocztowy z pl. Kościuszki;Kościuszki;;Wrocław;00-000;ul. Kościuszki Tadeusza;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;<0.9;<0.3;<0.4;Dane z powtorzenia - Wrocław: ul. vs pl. Kościuszki mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do pl. zamiast ul. i/lub złej delegatury jeśli kod pasuje do placu
TC-233;Błędna kombinacja;High;Wrocław - wpisano ul. Piłsudskiego, ale kod pocztowy z pl. Piłsudskiego;Piłsudskiego;;Wrocław;00-000;ul. Piłsudskiego marsz. Józefa;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;<0.9;<0.3;<0.4;Dane z powtorzenia - Wrocław: ul. vs pl. Piłsudskiego mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do pl. zamiast ul. i/lub złej delegatury jeśli kod pasuje do placu
TC-234;Błędna kombinacja;High;Łódź - wpisano ul. Jana Pawła II, ale kod pocztowy z pl. Jana Pawła II;Jana Pawła II;;Łódź;00-000;ul. Jana Pawła II;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.4;<0.9;<0.3;<0.4;Dane z powtorzenia - Łódź: al. vs pl. Jana Pawła II mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do pl. zamiast al. i/lub złej delegatury jeśli kod pasuje do placu
TC-235;Błędna kombinacja;High;Poznań - wpisano ul. Mickiewicza, ale kod pocztowy z pl. Mickiewicza;Mickiewicza;;Poznań;00-000;pl. Mickiewicza Adama;;Poznań;60-000;WIELKOPOLSKIE;Poznań;Poznań;<0.4;<0.9;<0.3;<0.4;Dane z powtorzenia - Poznań: ul. vs pl. Mickiewicza mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do pl. zamiast ul. i/lub złej delegatury jeśli kod pasuje do placu
TC-236;Błędna kombinacja;High;Wrocław - wpisano ul. Słowackiego, ale kod pocztowy z wyb. Słowackiego;Słowackiego;;Wrocław;00-000;wyb Słowackiego Juliusza;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;<0.9;<0.3;<0.4;Dane z powtorzenia - Wrocław: wyb. vs al. Słowackiego mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do wyb. zamiast al. i/lub złej delegatury jeśli kod pasuje do wybrzeża
TC-237;Błędna kombinacja;High;Wrocław - wpisano ul. Rędzińska, ale kod pocztowy z wyspa Rędzińska;Rędzińska;;Wrocław;00-000;ul. Rędzińska;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs wyspa Rędzińska mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do wyspa zamiast ul. i/lub złej delegatury jeśli kod pasuje do wyspy
TC-238;Błędna kombinacja;High;Błędne miasto Warszawa, ale ulica i kod pasują do Lublina;Jana Pawła II;17;Warszawa;20-538;ul. Jana Pawła II;17;Lublin;20-538;LUBELSKIE;Lublin;Lublin;<0.5;>0.9;>0.9;<0.7;Ulica Jana Pawła II występuje w wielu miastach - kod 20-538 pasuje do Lublina;RYZYKO: Może przypisać do Lublina zamiast Warszawy jeśli kod pasuje do Lublina
TC-239;Błędna kombinacja;High;Błędne miasto Kraków, ale ulica i kod pasują do innego miasta;Mickiewicza;;Kraków;87-300;ul. Mickiewicza;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.9;<0.7;Ulica Mickiewicza występuje w 1087 miejscowościach - kod 87-300 pasuje do Brodnicy;RYZYKO: Może przypisać do Brodnicy zamiast Krakowa jeśli kod pasuje do Brodnicy
TC-240;Błędna kombinacja;High;Błędne miasto Wrocław, ale ulica i kod pasują do innego miasta;Kujawska;;Wrocław;87-700;ul. Kujawska;;Zakrzewo;87-700;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.5;>0.9;>0.9;<0.7;Ulica Kujawska występuje w wielu miejscowościach - kod 87-700 pasuje do Zakrzewa;RYZYKO: Może przypisać do Zakrzewa zamiast Wrocławia jeśli kod pasuje do Zakrzewa
TC-241;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem dla tego kodu;Marszałkowska;200;Warszawa;00-001;ul. Marszałkowska;200;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.3;>0.95;>0.9;<0.5;Numer 200 poza zakresem dla kodu 00-001 - może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy z innym kodem jeśli numer nie pasuje
TC-242;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Dmowskiego;100;Lublin;20-001;ul. Dmowskiego;100;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.3;>0.95;>0.9;<0.5;Numer 100 poza zakresem - może być dla rondo Dmowskiego zamiast ul.;RYZYKO: Może przypisać do rondo zamiast ul. jeśli numer nie pasuje do ulicy
TC-243;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Grobla;200;Gorzów Wielkopolski;66-400;ul. Grobla;200;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.5;Numer 200 poza zakresem - może być dla rondo Grobla zamiast ul.;RYZYKO: Może przypisać do rondo zamiast ul. jeśli numer nie pasuje do ulicy
TC-244;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Dmowskiego;200;Lublin;20-001;ul. Dmowskiego;200;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.3;>0.95;>0.9;<0.4;Numer 200 poza zakresem dla ul. Dmowskiego - może być dla rondo Dmowskiego;RYZYKO: Może przypisać do rondo Dmowskiego jeśli numer nie pasuje do ulicy
TC-245;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Grobla;300;Gorzów Wielkopolski;66-400;ul. Grobla;300;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.4;Numer 300 poza zakresem dla ul. Grobla - może być dla rondo Grobla;RYZYKO: Może przypisać do rondo Grobla jeśli numer nie pasuje do ulicy
TC-246;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Kasprowicza;150;Inowrocław;88-100;ul. Kasprowicza;150;Inowrocław;88-100;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;<0.3;>0.95;>0.9;<0.4;Numer 150 poza zakresem dla ul. Kasprowicza - może być dla pl. Kasprowicza;RYZYKO: Może przypisać do pl. Kasprowicza jeśli numer nie pasuje do ulicy
TC-247;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Górna;250;Tomaszów Mazowiecki;97-200;os. Górna;250;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.3;>0.95;>0.9;<0.4;Numer 250 poza zakresem dla ul. Górna - może być dla os. Górna;RYZYKO: Może przypisać do os. Górna jeśli numer nie pasuje do ulicy
TC-248;Błędna kombinacja;High;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Strzelecka;180;Tomaszów Mazowiecki;97-200;ul. Strzelecka;180;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.3;>0.95;>0.9;<0.4;Numer 180 poza zakresem dla ul. Strzelecka - może być dla os. Strzelecka;RYZYKO: Może przypisać do os. Strzelecka jeśli numer nie pasuje do ulicy
TC-249;Błędna kombinacja;Medium;"Wpisano ""ul. Słowackiego"", ale kod pasuje do ""wyb. Słowackiego""";ul. Słowackiego;;Wrocław;50-000;wyb Słowackiego Juliusza;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;>0.9;<0.3;<0.4;"Wpisano ""ul."" ale kod pasuje do ""wyb."" - może przypisać do wybrzeża i/lub złej delegatury";RYZYKO: Może przypisać do wyb. zamiast ul. i/lub złej delegatury jeśli kod pasuje do wybrzeża
TC-250;Błędna kombinacja;Medium;"Wpisano ""ul. Rędzińska"", ale kod pasuje do ""wyspa Rędzińska""";ul. Rędzińska;;Wrocław;50-000;ul. Rędzińska;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""wyspa"" - może przypisać do wyspy i/lub złej delegatury";RYZYKO: Może przypisać do wyspa zamiast ul. i/lub złej delegatury jeśli kod pasuje do wyspy
TC-251;Błędna kombinacja;Medium;"Wpisano ""ul. Opatowicka"", ale kod pasuje do ""wyspa Opatowicka""";ul. Opatowicka;;Wrocław;50-000;ul. Opatowicka;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""wyspa"" - może przypisać do wyspy";RYZYKO: Może przypisać do wyspa zamiast ul. jeśli kod pasuje do wyspy
TC-252;Błędna kombinacja;Medium;"Wpisano ""ul. Korfantego"", ale kod pasuje do ""skwer Korfantego""";ul. Korfantego;;Wrocław;50-000;ul. Korfantego Wojciecha;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru";RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-253;Błędna kombinacja;Medium;"Wpisano ""ul. Bema"", ale kod pasuje do ""pl. Bema""";ul. Bema;;Wrocław;50-000;ul. Bema gen. Józefa;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-254;Błędna kombinacja;Medium;"Wpisano ""ul. Mikołaja"", ale kod pasuje do ""pl. Mikołaja""";ul. Mikołaja;;Wrocław;50-000;pl. Mikołaja św.;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-255;Błędna kombinacja;Medium;"Wpisano ""ul. Powstańców Śląskich"", ale kod pasuje do ""pl. Powstańców Śląskich""";ul. Powstańców Śląskich;;Wrocław;50-000;ul. Powstańców Śląskich;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-256;Błędna kombinacja;Medium;"Wpisano ""ul. Schneidera"", ale kod pasuje do ""skwer Schneidera""";ul. Schneidera;;Wrocław;50-000;ul. Schneidera ks. Jana;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru";RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-257;Błędna kombinacja;Medium;"Wpisano ""ul. Kajdasza"", ale kod pasuje do ""skwer Kajdasza""";ul. Kajdasza;;Wrocław;50-000;ul. Kajdasza Edmunda;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru";RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-258;Błędna kombinacja;Medium;"Wpisano ""ul. Rysia"", ale kod pasuje do ""skwer Rysia""";ul. Rysia;;Wrocław;50-000;skwer Rysia Zbigniewa;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru i/lub złej delegatury";RYZYKO: Może przypisać do skwer zamiast ul. i/lub złej delegatury jeśli kod pasuje do skweru
TC-259;Błędna kombinacja;Medium;"Wpisano ""ul. Matejki"", ale kod pasuje do ""park Matejki""";ul. Matejki;;Łódź;90-000;park Matejki Jana;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-260;Błędna kombinacja;Medium;"Wpisano ""ul. Moniuszki"", ale kod pasuje do ""park Moniuszki""";ul. Moniuszki;;Łódź;90-000;park Moniuszki Stanisława;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-261;Błędna kombinacja;Medium;"Wpisano ""ul. Sienkiewicza"", ale kod pasuje do ""park Sienkiewicza""";ul. Sienkiewicza;;Łódź;90-000;park Sienkiewicza Henryka;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-262;Błędna kombinacja;Medium;"Wpisano ""ul. Nad Jasieniem"", ale kod pasuje do ""park Nad Jasieniem""";ul. Nad Jasieniem;;Łódź;90-000;ul. Nad Jasieniem;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku i/lub złej delegatury";RYZYKO: Może przypisać do park zamiast ul. i/lub złej delegatury jeśli kod pasuje do parku
TC-263;Błędna kombinacja;Medium;"Wpisano ""ul. Sowińskiego"", ale kod pasuje do ""park Sowińskiego""";ul. Sowińskiego;;Zielona Góra;65-000;ul. Sowińskiego Generała Józefa;;Zielona Góra;65-000;LUBUSKIE;Zielona Góra;Zielona Góra;<0.5;>0.9;<0.3;<0.5;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-264;Błędna kombinacja;Medium;Wrocław - wpisano ul. Opatowicka, ale kod pocztowy z wyspa Opatowicka;Opatowicka;;Wrocław;00-000;ul. Opatowicka;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs wyspa Opatowicka mają różne SYM_UL;RYZYKO: Może przypisać do wyspa zamiast ul. jeśli kod pasuje do wyspy
TC-265;Błędna kombinacja;Medium;Wrocław - wpisano ul. Korfantego, ale kod pocztowy z skwer Korfantego;Korfantego;;Wrocław;00-000;ul. Korfantego Wojciecha;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs skwer Korfantego mają różne SYM_UL;RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-266;Błędna kombinacja;Medium;Wrocław - wpisano ul. Bema, ale kod pocztowy z pl. Bema;Bema;;Wrocław;00-000;ul. Bema gen. Józefa;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs pl. Bema mają różne SYM_UL;RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-267;Błędna kombinacja;Medium;Wrocław - wpisano ul. Mikołaja, ale kod pocztowy z pl. Mikołaja;Mikołaja;;Wrocław;00-000;pl. Mikołaja św.;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs pl. Mikołaja mają różne SYM_UL;RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-268;Błędna kombinacja;Medium;Wrocław - wpisano ul. Powstańców Śląskich, ale kod pocztowy z pl. Powstańców Śląskich;Powstańców Śląskich;;Wrocław;00-000;ul. Powstańców Śląskich;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs pl. Powstańców Śląskich mają różne SYM_UL;RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-269;Błędna kombinacja;Medium;Wrocław - wpisano ul. Schneidera, ale kod pocztowy z skwer Schneidera;Schneidera;;Wrocław;00-000;ul. Schneidera ks. Jana;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs skwer Schneidera mają różne SYM_UL;RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-270;Błędna kombinacja;Medium;Wrocław - wpisano ul. Kajdasza, ale kod pocztowy z skwer Kajdasza;Kajdasza;;Wrocław;00-000;ul. Kajdasza Edmunda;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs skwer Kajdasza mają różne SYM_UL;RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-271;Błędna kombinacja;Medium;Wrocław - wpisano ul. Rysia, ale kod pocztowy z skwer Rysia;Rysia;;Wrocław;00-000;skwer Rysia Zbigniewa;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Wrocław: ul. vs skwer Rysia mają różne SYM_UL i delegatury;RYZYKO: Może przypisać do skwer zamiast ul. i/lub złej delegatury jeśli kod pasuje do skweru
TC-272;Błędna kombinacja;Medium;Łódź - wpisano ul. Matejki, ale kod pocztowy z park Matejki;Matejki;;Łódź;00-000;park Matejki Jana;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Łódź: ul. vs park Matejki mają różne SYM_UL;RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-273;Błędna kombinacja;Medium;Łódź - wpisano ul. Moniuszki, ale kod pocztowy z park Moniuszki;Moniuszki;;Łódź;00-000;park Moniuszki Stanisława;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.9;<0.3;<0.5;Dane z powtorzenia - Łódź: ul. vs park Moniuszki mają różne SYM_UL;RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
